clave,descripcion,unidad,precio,fuente,fecha,estado
VAR-2-G60,Varilla corrugada #2 (1/4 in) grado 60 (varillín Fy 6000),ton,19800.00,"Regla de escala: VAR-3 ($17,672 sin IVA) × 1.12 por diámetro chico y alta resistencia (sobreprecio usual 8-15 % del varillín sobre la varilla #3/#4 en listas por tonelada); Aceros Crea, Panel y Acanalados y Aceromex venden varillín grado 6000 por tonelada sin precio visible",2026-09,referencia
VAR-2.5-G60,Varilla corrugada #2.5 (5/16 in) grado 60 (varillín Fy 6000),ton,19400.00,"Regla de escala: VAR-3 ($17,672) × 1.10 por diámetro chico y alta resistencia; Home Depot Pro lista la varilla grado 6000 5/16 por tonelada (https://pro.homedepot.com.mx/pro/materiales-de-construccion/acero/varilla/varilla-grado-6000-5-16-794-mm-1-ton-268033) sin precio visible en la consulta",2026-09,referencia
VAR-2.5,Varilla corrugada #2.5 (5/16 in) Fy 4200,ton,18400.00,"Regla de escala: VAR-3 ($17,672) × 1.04 por diámetro menor (sobreprecio usual 3-5 % en listas por tonelada); sin cotización directa",2026-09,referencia
VAR-5,Varilla corrugada #5 (5/8 in) Fy 4200,ton,16500.00,"Home Depot México tonelada R-42 5/8 12 m $19,140 con IVA; Home Depot Pro $18,792 (https://www.homedepot.com.mx/p/varilla-corrugada-recta-r-42-5-8-12-metros-1-tonelada-r42-179194) → $16,200-16,500 sin IVA; se toma $16,500. VAR-4 (Materiales Cortés) $17,672",2026-09,validado con rango de mercado
VAR-6,Varilla corrugada #6 (3/4 in) Fy 4200,ton,16500.00,"Regla: mismo precio por tonelada que VAR-5 (Home Depot México R-42 5/8 $19,140 con IVA); en listas de acerías el #5 a #8 se vende al mismo precio base por tonelada (±3 %). Sin cotización propia del diámetro",2026-09,referencia
VAR-8,Varilla corrugada #8 (1 in) Fy 4200,ton,16500.00,Regla: mismo precio por tonelada que VAR-5; Home Depot Pro lista R-42 1 in 12 m por tonelada (https://pro.homedepot.com.mx/pro/materiales-de-construccion/acero/varilla/varilla-corrugada-grado-39-254-mm-1-ton-482588) sin precio visible,2026-09,referencia
VAR-10,Varilla corrugada #10 (1 1/4 in) Fy 4200,ton,17000.00,"Regla de escala: VAR-5 ($16,500 sin IVA, Home Depot México) × 1.03 por diámetro de menor rotación (sobreprecio usual 2-5 %); sin cotización directa",2026-09,referencia
VAR-12,Varilla corrugada #12 (1 1/2 in) Fy 4200,ton,17000.00,"Regla de escala: VAR-5 ($16,500 sin IVA, Home Depot México) × 1.03 por diámetro de menor rotación (sobreprecio usual 2-5 %); sin cotización directa",2026-09,referencia
MALLA-66-88,"Malla electrosoldada 6x6-8/8 (rollo 2.50x40 m = 100 m², ≈130 kg)",m2,29.00,"Rollo 100 m² $3,180-3,500 con IVA (materialesparaconstruccion.online; preciosdematerialesdeconstruccion.com.mx $3,350; Sodimac y Construmarket Bajío listan el rollo) → $2,740-3,020 sin IVA; se toma $2,900/rollo",2026-09,validado con rango de mercado
TAMBO-200,Tambo metálico de 200 L usado (Ø 58 cm × 88 cm),pza,350.00,"Tambo usado $349 (Mercado Libre, ccydi.mercadoshops.com.mx); nuevos $800-1,500 (contenur.mx). Se toma $350 sin IVA por tambo usado abierto de 2a vida con flete",2026-09,validado con rango de mercado
COSTAL-RAFIA,Costal de rafia de polipropileno 50x80 cm,pza,5.00,"Estimación de mercado $4-7 por pieza al mayoreo (Rainsa, Casa Myers, Mexplast listan sin precio visible en la consulta); sin cotización directa",2026-09,referencia
ALAMBRON-2-SI,Alambrón #2 (1/4 in) liso en rollo Fy 2600 por tonelada (precio sin IVA),ton,17586.00,"Mismo dato que ALAMBRON-2 (Home Depot México menudeo $20.4/kg, https://www.homedepot.com.mx/p/alambron-de-acero-1-4-o-635-mm-025o-venta-por-kilo-01-abr-749917), que es precio al público con IVA → $20,400 ÷ 1.16 = $17,586/ton sin IVA; queda a la par de VAR-3 ($17,672) sin IVA. Duplicado temporal hasta corregir ALAMBRON-2 en insumos.csv",2026-09,referencia
ELECTRODO-6013,Electrodo revestido E6013 1/8 in (caja 20 kg),kg,57.00,"Caja 20 kg Infra E6013 1/8: $1,265-1,320 con IVA según volumen (https://infraenlinea.com/electrodo-infra-6013-punta-naranja-1-8-20-kg.html) → ≈$57/kg sin IVA (dato del lote 2f)",2026-09,validado con rango de mercado
