clave,descripcion,unidad,precio,fuente,fecha,estado
MALLA-66-66,"Malla electrosoldada 6x6-6/6 (rollo 2.50x40 m = 100 m², ≈1.93 kg/m²)",m2,47.00,"Rollo 100 m² $4,600-4,900 + IVA según distribuidor (resumen de búsqueda: Sodimac México producto 106070, preciosdematerialesdeconstruccion.com.mx, Materiales Cortés $4,700). Se toma $4,700/rollo sin IVA",2026-09,validado con rango de mercado
MALLA-66-44,"Malla electrosoldada 6x6-4/4 (rollo 2.50x40 m = 100 m², ≈2.65 kg/m²)",m2,64.00,"Regla de escala por peso anclada a MALLA-66-66 ($47/m², 1.93 kg/m² → $24.4/kg) × 2.65 kg/m² (alambre cal. 4 = 5.72 mm). Sodimac (producto 391786), Materiales Camargo y Construrama listan el rollo sin precio visible",2026-09,referencia
CONC-PREM-100,"Concreto premezclado f'c=100 kg/cm2 resistencia normal clase 2, RN 10 cm, TMA 19 mm, tiro directo",m3,2350.00,"Escala de la serie clase 2 anclada a CONC-PREM-200 ($2,550, lote 2e) con escalón de $100 por cada 50 kg/cm² (CDMX 2026: f'c 100 $2,400, 150 $2,450, 200 $2,500, 250 $2,550; Monterrey f'c 200-350 escalón ≈$200; resumen de búsqueda de concretefactory.com.mx y guías 2026). Sin cotización de planta en Morelia",2026-09,validado con rango de mercado
CONC-PREM-150,"Concreto premezclado f'c=150 kg/cm2 resistencia normal clase 2, RN 10 cm, TMA 19 mm, tiro directo",m3,2450.00,"Misma serie clase 2: CONC-PREM-200 $2,550 − $100. Rango 2026 CDMX f'c 150 $2,450/m³ (concretefactory.com.mx, resumen de búsqueda)",2026-09,validado con rango de mercado
CONC-PREM-250N,"Concreto premezclado f'c=250 kg/cm2 resistencia normal clase 2, RN 10 cm, TMA 19 mm, tiro directo",m3,2650.00,"Misma serie clase 2: CONC-PREM-200 $2,550 + $100. Rango 2026 región Centro f'c 250 $2,500-2,900/m³ (teseodata.com, reporte 2026 de precios por región, según resumen de búsqueda)",2026-09,validado con rango de mercado
CONC-PREM-E300,"Concreto premezclado f'c=300 kg/cm2 clase 1 (estructural), RN 10 cm, TMA 19 mm, tiro directo",m3,2950.00,"Clase 1 f'c 250 tiro directo ≈$2,750 (CONC-PREM-250 $2,900 menos $150 de mezcla bombeable con superfluidizante) + $200 por escalón; Monterrey 2026 f'c 300 $2,850-3,200; f'c 300 10-15 % sobre f'c 250 (guías 2026, resumen de búsqueda)",2026-09,validado con rango de mercado
CONC-PREM-E350,"Concreto premezclado f'c=350 kg/cm2 clase 1 (estructural), RN 10 cm, TMA 19 mm, tiro directo",m3,3150.00,"Misma escala (+$200 por escalón de 50 kg/cm²); Monterrey 2026 f'c 350 $3,050-3,450/m³ (resumen de búsqueda)",2026-09,validado con rango de mercado
CONC-PREM-E400,"Concreto premezclado f'c=400 kg/cm2 clase 1 (estructural), RN 10 cm, TMA 19 mm, tiro directo",m3,3400.00,"Monterrey 2026 f'c 400 $3,350-3,800/m³ (resumen de búsqueda); se toma el extremo bajo por región Centro",2026-09,validado con rango de mercado
CONC-PREM-E450,"Concreto premezclado f'c=450 kg/cm2 clase 1 (estructural), RN 10 cm, TMA 19 mm, tiro directo",m3,3650.00,"Extrapolación de la serie clase 1 (+$250 sobre f'c 400); no se encontró precio publicado de f'c 450",2026-09,referencia
CONC-SP-BOMB,"Sobreprecio de concreto premezclado bombeable (RN 14 cm, aditivo superfluidizante) sobre el de tiro directo",m3,150.00,"Diferencia adoptada entre CONC-PREM-250 bombeable con superfluidizante ($2,900) y clase 1 tiro directo; aditivos en premezclado +$120-320/m³ según tipo (guías de precios 2026, resumen de búsqueda)",2026-09,referencia
POLIET-600,Película de polietileno negro calibre 600 para construcción (rollo 6 x 45 m),m2,11.70,"Rollo 6 x 45 m (270 m²) $3,675 con IVA (hydroenv.com.mx) → $11.73/m² sin IVA; rollo 6 x 20 m $1,999 con IVA (Mercado Libre) → $14.4/m²",2026-09,validado con rango de mercado
CURADOR-TAMBO,Membrana de curado base agua (Sika Curador E o similar) en tambor de 200 L,l,37.00,"Sika Curador E tambo 200 L $8,565 (SW Supply / MN del Golfo, resumen de búsqueda; se supone con IVA → $7,384 sin IVA = $36.9/L); Sika Antisol tambo 200 L $5,756 ($28.8/L). La cubeta de 19 L (CURADOR) cuesta ≈2.5 veces más por litro",2026-09,validado con rango de mercado
MAT-BANCO,Material de banco para relleno (tepetate) suelto puesto en obra,m3,300.00,"Tepetate puesto en obra $230-350/m³ (ZMVM, proyección 2025) y $350-750 en zona centro según distancia al banco (analisisdepreciosunitarios.com/construccion-38877, resumen de búsqueda). Morelia tiene bancos cercanos; sin cotización directa",2026-09,validado con rango de mercado
GRAVA-CONTROL,Grava controlada (base hidráulica grava-arena graduada) suelta puesta en obra,m3,350.00,"Sin precio publicado confiable; se toma entre tepetate ($300, MAT-BANCO) y grava triturada 19 mm ($517, GRAVA-19). Costonet lista grava cementada controlada (AGRGRA00025) sin precio visible",2026-09,referencia
CIMBRA-MET-USO,Molde metálico modular para fronteras (renta o amortización por uso) incl. pernos y cuñas,m2,30.00,"Estimación: panel metálico ≈$2,500-3,000/m² con 100 usos + mantenimiento ≈$30/m² por uso; sin cotización de renta en Morelia",2026-09,referencia
