clave,descripcion,unidad,precio,fuente,fecha,estado
CONC-PREM-200,"Concreto premezclado f'c=200 kg/cm2 resistencia normal, RN 10-14 cm, TMA 19 mm, tiro directo",m3,2550.00,"Rango 2026 f'c 200-250 tiro directo $2,400-2,900/m³ (teseodata.com, https://teseodata.com/blog/reportes-sectoriales/precios-concreto-premezclado-por-region-mexico-2026); CostoNet f'c 200 RN 3/4 in $2,644 (https://www.costonet.com.mx/precio/CONPRE00015). Se toma $2,550 sin IVA; sin cotización de planta en Morelia",2026-09,validado con rango de mercado
ARMEX-10-10-4,Armex castillo electrosoldado 10x10-4 (pieza 6 m),m,23.20,"Regla de escala anclada en ARMEX-15-15-4 ($27.30/m, Construrama): precio = 27.30 × (0.55 + 0.45 × perímetro/60 cm); perímetro 40 cm. Home Depot y Construrama listan la pieza sin precio visible",2026-09,referencia
ARMEX-12-20-4,Armex castillo electrosoldado 12x20-4 (pieza 6 m),m,28.10,"Regla de escala anclada en ARMEX-15-15-4 ($27.30/m): 27.30 × (0.55 + 0.45 × 64/60) (https://www.homedepot.com.mx/p/castillo-12x20x4-electrosoldado-doblado-6-metros-538690 sin precio visible)",2026-09,referencia
ARMEX-15-20-4,Armex castillo electrosoldado 15x20-4 (pieza 6 m),m,29.35,"Regla de escala anclada en ARMEX-15-15-4 ($27.30/m): 27.30 × (0.55 + 0.45 × 70/60) (https://www.construrama.com/catalogo/aceros/derivados-de-alambron/castillos/armex-castillo-electrosoldado-15x204-pieza/p/0202000018 sin precio visible)",2026-09,referencia
ARMEX-15-25-4,Armex castillo electrosoldado 15x25-4 (pieza 6 m),m,31.40,"Regla de escala anclada en ARMEX-15-15-4 ($27.30/m): 27.30 × (0.55 + 0.45 × 80/60)",2026-09,referencia
ARMEX-15-30-4,Armex castillo electrosoldado 15x30-4 (pieza 6 m),m,33.45,"Regla de escala anclada en ARMEX-15-15-4 ($27.30/m): 27.30 × (0.55 + 0.45 × 90/60) (https://surtiaceros.com/producto/cs-1530-4/ sin precio visible)",2026-09,referencia
MORTERO-ALB,Cemento de albañilería (mortero) tipo Tolteca/Óptimo (bulto 50 kg),ton,3450.00,"Bulto 50 kg ≈$200 con IVA → $172.50 sin IVA; cemento gris CPC 30R $240-280 con IVA (Construction Supply Magazine) y el mortero suele venderse 20-25 % abajo; Home Depot, Construrama y MN del Golfo listan el producto sin precio visible",2026-09,referencia
GRAVA-13,Grava de 13 mm (1/2 in) puesta en obra,m3,540.00,Grava 19 mm $517/m³ sin IVA (GRAVA-19) + ≈5 % por trituración más fina; rango 2026 $450-650/m³ a granel (Construction Supply Magazine),2026-09,referencia
GRAVA-10,Grava de 10 mm (3/8 in) / gravilla puesta en obra,m3,560.00,Grava 19 mm $517/m³ sin IVA (GRAVA-19) + ≈8 % por trituración más fina; rango 2026 $450-650/m³ a granel (Construction Supply Magazine),2026-09,referencia
YESO-CONST,Yeso de construcción (bulto 40 kg),kg,2.93,"Bulto 40 kg $136 con IVA (Home Depot, https://www.homedepot.com.mx/p/yeso-construccion-40-kg-123707); ≈$135 (compradefierroviejo.com) → $117 sin IVA / 40 kg",2026-09,validado con rango de mercado
METAL-DESP-10K,Metal desplegado 10K para aplanados (hoja 0.69 x 2.44 m),m2,55.00,"Estimación: hoja 0.69x2.44 m (1.68 m²) ≈$105 con IVA en ferreterías; LADESA, IPASA y MarChina (rollo K-10 22 m) sin precio visible",2026-09,referencia
TUBO-CONC-10,Tubo de concreto simple 10 cm (4 in) de diámetro para albañal (pieza 0.90-1.00 m),m,55.00,"Regla de escala anclada en el tubo de 15 cm (pieza de 0.90 m $85-100 con IVA, analisisdepreciosunitarios.com/QuimiNet): precio ≈ proporcional al peso; sin cotización directa",2026-09,referencia
TUBO-CONC-15,Tubo de concreto simple 15 cm (6 in) de diámetro para albañal (pieza 0.90-1.00 m),m,88.00,"Pieza 0.90 m $85-100 con IVA (analisisdepreciosunitarios.com, https://analisisdepreciosunitarios.com/ciudad-de-mexico-cdmx-31265; QuimiNet) → ≈$102/m con IVA, $88/m sin IVA",2026-09,referencia
TUBO-CONC-20,Tubo de concreto simple 20 cm (8 in) de diámetro para albañal (pieza 0.90-1.00 m),m,125.00,Regla de escala anclada en el tubo de 15 cm ($88/m): proporcional al peso por metro (≈1.4×); sin cotización directa,2026-09,referencia
TUBO-CONC-30,Tubo de concreto simple 30 cm (12 in) de diámetro para albañal (pieza 0.90-1.00 m),m,210.00,"Regla de escala anclada en el tubo de 15 cm ($88/m): proporcional al peso por metro (≈2.4×); Construrama y Motipreca listan la pieza sin precio visible; CYPE México $567/m instalado con junta elástica",2026-09,referencia
FESTER-MICROPRIMER,Fester Microprimer imprimador asfáltico base agua (cubeta 19 L),l,45.70,"Cubeta 19 L $1,007.53 con IVA (Construrama, https://www.construrama.com/catalogo/materiales-de-construccion/impermeabilizantes-y-accesorios/impermeabilizantes-asfalticos/fester-microprimer-19l-pieza/p/0302030037) → $868.56 sin IVA / 19 L",2026-09,validado con rango de mercado
FESTER-MICROSEAL-2F,Fester Microseal No. 2F impermeabilizante asfáltico fibratado base agua (cubeta 19 L),l,82.00,"Lista Fester 2016 $1,041 sin IVA/cubeta (festerimpermeabilizantes.com) actualizada ≈50 % a 2026 → $1,560 sin IVA / 19 L; tiendas en línea (festerenlinea.com.mx, ferrekasamexico.com) sin precio visible",2026-09,referencia
FESTERMIP-APP-4,Festermip 10 APP PS 4.0 mm acabado gravilla terracota (rollo 1 x 10 m),m2,351.00,"Rollo 10 m² $4,072.76 con IVA (Fester Roma 2026, https://www.festerroma.com.mx/tienda/festermip-10-app-ps-4-0-2/) → $3,511 sin IVA; Festermip 12 SBS 4.5 terracota $4,048 (2023)",2026-09,validado con rango de mercado
