clave,descripcion,unidad,precio,fuente,fecha,estado
PERF-OVALIN,"Perforación en cubierta de mármol para ovalín o lavabo de sobreponer, con pulido de borde",pza,450.00,Estimación: perforación de ovalín $350-600 por pieza en cotizaciones de cubiertas; sin cotización directa,2026-09,referencia
MAQUILA-CUB-ML,"Fabricación de cubierta de mármol: cortes, pegado de faldón y zoclo con resina, pulido de cantos cortos y plantilla, por ml",m,1200.00,"Estimación: marmolerías cobran la fabricación de cubiertas por ml, $900-1,500/ml según cantos y piezas pegadas; sin cotización directa",2026-09,referencia
LAMINA-MARM-CM-2,"Lámina de mármol crema marfil de 2 cm pulida (para cubiertas), precio por m²",m2,1616.00,"Granito y Cuarzo (granitoycuarzo.mx/producto/marmol-crema-marfil) $1,875/m² con IVA, lámina 2.80 x 1.80 m → $1,616 sin IVA; un solo proveedor en línea, sin flete",2026-09,referencia
CANTO-PUL-RECTO,"Canto recto pulido en pieza de mármol de 1-2 cm, maquila de marmolería",m,35.00,Estimación: canto recto pulido cuesta ≈40-50 % del boleado ($60-120/ml); sin cotización directa,2026-09,referencia
CANTO-BOL-2CM,"Canto boleado y pulido en pieza de mármol de 2 cm, maquila de marmolería",m,80.00,Estimación: maquila de canto boleado/pulido en marmolería $60-120/ml según perfil (cotizaciones de cubiertas cobran el canto por ml); sin cotización directa,2026-09,referencia
BRILLADO-MURO,"Brillado y cristalizado de lambrín de mármol o granito (pieza pulida de fábrica), subcontrato",m2,45.00,Extremo bajo del rango de pulido: abrillantado sin desbaste $35-45/m² (lavadoypulidodepisos.mx $45/m²; limpiar.mx $35-45/m² restauración de brillo),2026-09,validado con rango de mercado
PULIDO-GRAN-PISO,"Pulido en sitio y brillado de piso de granito (desbaste de cejas con diamante y abrillantado), subcontrato",m2,110.00,Regla: pulido de mármol ($80/m²) × ≈1.4 por mayor dureza del granito (abrasivos de diamante y más pasadas); dentro del rango general $45-120/m² de pulido de pisos pétreos. Sin cotización directa,2026-09,referencia
PULIDO-MARM-PISO,"Pulido en sitio y brillado de piso de mármol (desbaste de cejas, pulido y cristalizado), subcontrato con equipo y abrasivos",m2,80.00,Subcontrato de pulido y brillado de mármol: pulidodepisosenmexico.com.mx 'Pulido y Brillado $80 m²'; pulidodepisosdemarmol.com $65/m²; lavadoypulidodepisos.mx $45/m² (solo abrillantado); rango general $45-120/m² (habitissimo/cronoshare 2026). Se toma $80 por incluir desbaste de cejas en piso nuevo,2026-09,validado con rango de mercado
PIEDRA-MI-CMCLAS-2,"Mármol importado crema marfil clásico, placa 2 cm a despiece, pulido de fábrica, sin IVA, puesto en obra",m2,980.00,"Regla de escala por variedad: P.U. actualizado Construbase de E06.03.0001 ÷ 1.284 (indirectos, financiamiento y utilidad) − costo no pétreo de la tarjeta tipo ($440) ÷ (1 + desperdicio) = $975/m²; sin ajuste (k = 1.00). Verificación: lámina crema marfil $1,875/m² y blanco Carrara $2,200/m² con IVA al menudeo para cubiertas (granitoycuarzo.mx); Calacatta italiano $4,000-8,000/m² (Mármoles Robles, guía 2026). La placa de piso por volumen queda por debajo del precio de lámina al menudeo",2026-09,referencia
PIEDRA-MI-CMEXT-2,"Mármol importado crema marfil extra, placa 2 cm a despiece, pulido de fábrica, sin IVA, puesto en obra",m2,1380.00,"Regla de escala por variedad: P.U. actualizado Construbase de E06.03.0003 ÷ 1.284 (indirectos, financiamiento y utilidad) − costo no pétreo de la tarjeta tipo ($440) ÷ (1 + desperdicio) = $1,385/m²; sin ajuste (k = 1.00). Verificación: lámina crema marfil $1,875/m² y blanco Carrara $2,200/m² con IVA al menudeo para cubiertas (granitoycuarzo.mx); Calacatta italiano $4,000-8,000/m² (Mármoles Robles, guía 2026). La placa de piso por volumen queda por debajo del precio de lámina al menudeo",2026-09,referencia
