clave,descripcion,unidad,precio,fuente,fecha,estado
BAJOALF-PU6,"Bajo alfombra de espuma de poliuretano (Polipad) 6.35 mm, rollo 110 m²",m2,18.80,"Home Depot México SKU 945108 Polipad 6.35 mm × 110 m² $2,399 con IVA ⇒ $21.81/m² con IVA ⇒ $18.80 sin IVA (Home Depot, consulta 2026-09)",2026-09,validado con rango de mercado
TIRA-PUAS,Tira de púas para alfombra 7/8 in × 1.22 m con clavo para concreto integrado,m,13.25,Paquete 20 pzas × 1.22 m = 24.4 m $375 con IVA (CEPISA/Mercado Libre) ⇒ $15.37/m con IVA ⇒ $13.25 sin IVA; Home Depot vende pieza QEP 1.22 m,2026-09,validado con rango de mercado
CINTA-UNION-ALF,"Cinta termoadhesiva (hot-melt) para unión de alfombra, rollo 20 m",m,24.80,Cinta unión Capitol rollo 20 m $575 con IVA (CEPISA/Mercado Libre) ⇒ $28.75/m con IVA ⇒ $24.80 sin IVA,2026-09,validado con rango de mercado
ADH-CONTACTO,Pegamento de contacto tipo Resistol 5000 (lata 4 L),l,170.00,Home Depot México Resistol 5000 4 L $739-869 con IVA ⇒ $159-187/L sin IVA; se toma $170/L,2026-09,validado con rango de mercado
ALF-LUX-ARQUITEXTURA-SB,"Alfombra Luxor Arquitextura SB, Poliester rasurado (rollo; equivalente de gama 2026)",m2,331.00,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $327.73 ⇒ $331.00/m²",2026-09,referencia
ALF-LUX-ARUBA,"Alfombra Luxor Aruba, Poliester rasurado (rollo; equivalente de gama 2026)",m2,276.50,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $282.47 ⇒ $276.50/m²",2026-09,referencia
ALF-LUX-ATHLETIC-TURF,"Alfombra Luxor Athletic Turf, Pasto uv resitant (rollo; equivalente de gama 2026)",m2,621.50,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $570.86 ⇒ $621.50/m²",2026-09,referencia
ALF-LUX-BIG-LEAGUES,"Alfombra Luxor Big Leagues, Polipropileno Graphics (rollo; equivalente de gama 2026)",m2,253.50,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $263.08 ⇒ $253.50/m²",2026-09,referencia
ALF-LUX-BRUSSELS,"Alfombra Luxor Brussels, Polipropileno Berber (rollo; equivalente de gama 2026)",m2,175.50,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $197.86 ⇒ $175.50/m²",2026-09,referencia
ALF-LUX-CASA-GRANDE-4M-ANCHO,"Alfombra Luxor Casa Grande (4m.ancho), Polipropileno Frieze hilo fino (rollo; equivalente de gama 2026)",m2,300.00,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $301.87 ⇒ $300.00/m²",2026-09,referencia
ALF-LUX-CASTELLON,"Alfombra Luxor Castellon, Polipr/Nyl/Berber (rollo; equivalente de gama 2026)",m2,337.00,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $332.91 ⇒ $337.00/m²",2026-09,referencia
ALF-LUX-CRICKET-30,"Alfombra Luxor Cricket 30, Naylon rasurado (rollo; equivalente de gama 2026)",m2,279.50,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $285.05 ⇒ $279.50/m²",2026-09,referencia
ALF-LUX-CRICKET-36,"Alfombra Luxor Cricket 36, Naylon rasurado (rollo; equivalente de gama 2026)",m2,312.00,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $312.22 ⇒ $312.00/m²",2026-09,referencia
ALF-LUX-CRICKET-42,"Alfombra Luxor Cricket 42, Naylon rasurado (rollo; equivalente de gama 2026)",m2,371.00,"Regla de escala de la familia E06.06: precio = 95.00 + 1.1963 × (P.U. 2017 del modelo − 130.62), recta por dos anclas 2026 sin IVA: $95/m² para polipropileno económico (Sprint Plus, P.U. 2017 $130.62; respaldo: tabulador CDMX 2026-07 GH24BB 'alfombra modelo Sprint con bajo alfombra' $228.66/m² ⇒ alfombra ≈$90-100/m²; alfombras de uso rudo desde $150/m² con IVA, alfombrasypisosdf.com) y $600/m² para poliéster premium (Magnificent SB, P.U. 2017 $552.76; alfombra Luxor gama alta $450-800/m² solo material, analisisdepreciosunitarios.com 2025). Equivale a repartir los modelos en proporción a (P.U. 2017 − 51.2), la parte del P.U. 2017 que no es alfombra; este modelo: P.U. 2017 $361.36 ⇒ $371.00/m²",2026-09,referencia
