clave,descripcion,unidad,precio,fuente,fecha,estado
ALU-PERF-NAT,"Perfil de aluminio extruido anodizado natural (líneas comerciales 1 a 4 in, tramo 6.10 m)",kg,155.00,"CostoNet: perfil bolsa 3x1 3/4 in anodizado natural tramo 6.10 m $746.59 (≈$122/m; peso 0.78-0.90 kg/m → $136-157/kg); zoclo 1 3/4 in $256-289/m según acabado; Alumer batiente de lujo tramo 6.10 m $350.32. Aluminio primario COMEX $59.5/kg (sep-2026, numismaticamexicana.com.mx); el perfil anodizado se vende a ≈2.5 veces el lingote. Precio por kg derivado con pesos lineales supuestos; se toma $155/kg sin IVA",2026-09,referencia
ALU-PERF-BCO,"Perfil de aluminio extruido acabado pintado (blanco electrostático), tramo 6.10 m",kg,172.00,ALU-PERF-NAT × 1.11: el acabado pintado sube el perfil 8-12 % sobre el natural en listas de distribuidor (CostoNet zoclo 1 3/4 in natural a duranodik $256-289/m); sin cotización directa,2026-09,referencia
ALU-PERF-DUR,"Perfil de aluminio extruido anodizado duranodik (bronce), tramo 6.10 m",kg,190.00,"CostoNet duranodik: cerco ventana 2 in corrediza $85.25/m (0.39-0.45 kg/m → $190-218/kg), cabezal 3 in corrediza $133.68/m (0.62-0.75 kg/m → $178-215/kg); ALU-PERF-NAT × 1.23. Se toma $190/kg sin IVA",2026-09,referencia
PASAMANO-ALU-DUR,Pasamanos de aluminio duranodik (tramo 6.10 m),m,232.09,CostoNet ALUPER04065 pasamano de aluminio duranodik $232.09/m,2026-09,validado con rango de mercado
DUELA-ALU-DUR,Duela de aluminio lisa 4-5 in duranodik con entrecalle (tablero),m2,1390.00,"CostoNet ALUPER01725 duela lisa 5 in duranodik $176.05/m × 7.9 m/m² (módulo 12.7 cm) = $1,390/m²",2026-09,referencia
DUELA-ALU-NAT,Duela de aluminio lisa 4-5 in anodizado natural con entrecalle,m2,1100.00,DUELA-ALU-DUR ÷ 1.18 (misma relación duranodik/natural que el perfil); sin cotización directa,2026-09,referencia
DUELA-ALU-BCO,Duela de aluminio lisa 4-5 in pintada blanca con entrecalle,m2,1200.00,DUELA-ALU-NAT × 1.09 (acabado pintado); sin cotización directa,2026-09,referencia
DUELA-TRAP6-PINT,"Duela trapezoidal de aluminio 6 in acabado pintado (celosía), tramo 6.10 m",m,135.00,"Duela 5 in duranodik CostoNet $176/m; la trapezoidal de 6 in pintada (lámina más delgada, rolada) ≈ 20-25 % menos; sin cotización directa",2026-09,referencia
PANEL-ART-6,Panel Art de aluminio 6 mm dos caras (tablero decorativo para cancel y puerta),m2,700.00,Tablero de aluminio compuesto/estampado 6 mm dos caras; distribuidores de aluminio lo venden por hoja sin precio visible; estimación $750-900/m² con IVA,2026-09,referencia
ACRIL-3-CRISTAL,Acrílico cristal (transparente) 3 mm para cancel de baño,m2,520.00,"Hoja 1.22x2.44 m (2.98 m²) de acrílico 3 mm $1,600-2,000 con IVA en distribuidores de plásticos (Mercado Libre, Plastiglas) → $460-580/m² sin IVA",2026-09,referencia
ACRIL-3-HUMO,Acrílico humo 3 mm para cancel de baño,m2,560.00,ACRIL-3-CRISTAL × 1.08 por color; sin cotización directa,2026-09,referencia
CRISTAL-CLARO-3,Cristal flotado claro 3 mm cortado a medida,m2,215.00,CRISTAL-CLARO-6 del lote 3g ($400/m²) × 0.54 (relación de espesor en listas de vidrierías; menudeo 3 mm $240-300/m² con IVA); sin cotización en Morelia,2026-09,referencia
CRISTAL-CLARO-4,Cristal flotado claro 4 mm cortado a medida,m2,270.00,CRISTAL-CLARO-6 del lote 3g ($400/m²) × 0.67 (relación 4/6 mm en listas de vidrierías); sin cotización en Morelia,2026-09,referencia
CRISTAL-TINTEX-6,Cristal tintex (verde) 6 mm cortado a medida,m2,440.00,"CRISTAL-FILTRA-6 del lote 3g ($420/m²) + 5 % por color verde (MercadoLibre 'vidrio tintex 6 mm m²' $450-600 con IVA, criterio de CRISTAL-BRONCE-6); sin cotización directa",2026-09,referencia
CRISTAL-OPACO-4,Cristal opaco (esmerilado/satinado) 4 mm cortado a medida,m2,340.00,CRISTAL-CLARO-4 × 1.25 por acabado esmerilado/satinado; sin cotización directa,2026-09,referencia
PIVOTE-DESC,Pivote descentrado para puerta de aluminio (juego superior e inferior),jgo,220.00,"Pivote descentrado para puerta de aluminio $180-320 con IVA en distribuidores de herrajes (Herralum, Alumer); estimación",2026-09,referencia
JALADERA-EST-25,Jaladera estriada de aluminio 25 cm,pza,140.00,Jaladera tubular/estriada 25 cm $120-200 con IVA en distribuidores de herrajes; estimación,2026-09,referencia
CERR-PH550-CH,"Cerradura Phillips 550 de embutir para puerta de aluminio, doble cilindro, sin manijas",pza,470.00,"Phillips 550: Tool Ferreterías $511.56, ALIS $581.09, Claro Shop $539-629, Sears $599-759 con IVA → $440-540 sin IVA; se toma $470",2026-09,validado con rango de mercado
