clave,descripcion,unidad,precio,fuente,fecha,estado
CRISTAL-CLARO-6,Cristal flotado claro 6 mm cortado a medida,m2,400.00,"CostoNet VIDCRI00025/00030 cristal flotado claro 6 mm $667-678/m² sin IVA (lista por grupo de tamaño); analisisdepreciosunitarios.com guía 2025 material ≈$568/m²; vidrierías de menudeo $450-550/m² con IVA cortado. Se toma $400/m² sin IVA puesto en obra (compra por hoja, corte incluido)",2026-09,validado con rango de mercado
CRISTAL-CLARO-10,Cristal flotado claro 10 mm cortado a medida,m2,850.00,"Regla de escala: CRISTAL-CLARO-6 × 2.1 (peso 10/6 y menor oferta); vidrierías $900-1,200/m² con IVA; sin cotización directa",2026-09,referencia
CRISTAL-CLARO-12,Cristal flotado claro 12 mm cortado a medida,m2,1150.00,Regla de escala: CRISTAL-CLARO-10 × 1.35 (espesor 12 mm de importación); sin cotización directa,2026-09,referencia
CRISTAL-FILTRA-3,Cristal filtrasol gris 3 mm cortado a medida,m2,190.00,Regla de escala: filtrasol 6 mm × 0.45 (espesor 3 mm); vidrierías $200-260/m² con IVA; sin cotización directa,2026-09,referencia
CRISTAL-FILTRA-6,Cristal filtrasol gris 6 mm cortado a medida,m2,420.00,CostoNet VIDCRI00210 cristal flotado filtrasol 6 mm $347-362/m² sin IVA (lista histórica); se actualiza a $420 sin IVA por 2026,2026-09,validado con rango de mercado
CRISTAL-FILTRA-10,Cristal filtrasol gris 10 mm cortado a medida,m2,900.00,Regla de escala: CRISTAL-FILTRA-6 × 2.15; sin cotización directa,2026-09,referencia
CRISTAL-BRONCE-6,Cristal solar bronce (tintex bronce) 6 mm cortado a medida,m2,450.00,Filtrasol 6 mm + 7 % por color bronce (MercadoLibre 'vidrio tintex 6 mm m²' $450-600 con IVA); sin cotización directa,2026-09,referencia
CRISTAL-REFL-AZUL-6,Cristal reflectivo azul 6 mm cortado a medida,m2,1000.00,"Cristal reflectivo (capa pirolítica) ≈2.4 × filtrasol 6 mm; vidrierías $1,000-1,300/m² con IVA; sin cotización directa",2026-09,referencia
CRISTAL-REFL-VERDE-6,Cristal reflectivo verde 6 mm cortado a medida,m2,1000.00,Mismo criterio que CRISTAL-REFL-AZUL-6; sin cotización directa,2026-09,referencia
CRISTAL-REFL-PLATA-6,Cristal reflectivo plata 6 mm cortado a medida,m2,850.00,"Reflectivo plata sobre claro, ≈15 % abajo del azul/verde (base de color); sin cotización directa",2026-09,referencia
CRISTAL-TEMP-6,Cristal templado claro 6 mm fabricado a medida (con cantos pulidos y barrenos),m2,950.00,"Vidrierias.mx / analisisdepreciosunitarios.com: templado $1,600-1,800/m² con IVA en espesores medios y $1,800-2,500 en 10-12 mm; 6 mm ≈ $1,100 con IVA → $950 sin IVA",2026-09,referencia
CRISTAL-TEMP-10,Cristal templado claro 10 mm fabricado a medida (con cantos pulidos),m2,1650.00,"Templado 10 mm $1,800-2,500/m² con IVA (analisisdepreciosunitarios.com guía 2025, vidrierias.mx) → $1,550-2,150 sin IVA; se toma $1,650",2026-09,validado con rango de mercado
CRISTAL-TEMP-FILTRA-6,Cristal templado filtrasol 6 mm fabricado a medida,m2,1000.00,CRISTAL-TEMP-6 + diferencia de color (filtrasol) ≈ +5 %; sin cotización directa,2026-09,referencia
CRISTAL-TEMP-FILTRA-10,Cristal templado filtrasol 10 mm fabricado a medida,m2,1800.00,CRISTAL-TEMP-10 + 9 % por color; sin cotización directa,2026-09,referencia
CRISTAL-TEMP-BRONCE-6,Cristal templado solar bronce 6 mm fabricado a medida,m2,1000.00,CRISTAL-TEMP-6 + color bronce ≈ +5 %; sin cotización directa,2026-09,referencia
ESPEJO-4,Espejo claro 4 mm cortado a medida con canto pulido,m2,380.00,"Vidrierías: espejo 4 mm $400-500/m² con IVA cortado; GlassShopMty espejo 6 mm pegado a muro $2,500/m² instalado con pulido (tope); sin cotización directa",2026-09,referencia
ESPEJO-6,Espejo claro 6 mm cortado a medida con canto pulido,m2,520.00,"Vidrierías: espejo 6 mm natural $550-700/m² con IVA (VidrieríaMartínez, GlassShopMty 'espejo 6 mm flotado por m²'); sin cotización directa",2026-09,referencia
ESPEJO-BRONCE-6,Espejo bronce 6 mm cortado a medida con canto pulido,m2,700.00,ESPEJO-6 × 1.35 por base de cristal bronce; sin cotización directa,2026-09,referencia
SILICON-NEUTRO,Silicón neutro para espejo/cristal cartucho 300 ml,pza,120.00,Silicón neutro (no ataca la plata del espejo) $120-160 con IVA por cartucho; estimación,2026-09,referencia
TRIPLAY-CAOBILLA-5,Triplay de caobilla 5 mm hoja 1.22 x 2.44 m,pza,280.00,Total Market/MercadoLibre triplay caobilla 5-6 mm $250-400 con IVA por hoja; se toma $280 sin IVA,2026-09,referencia
TRIPLAY-CAOBA-6,Triplay de caoba 6 mm 1 cara hoja 1.22 x 2.44 m,pza,690.00,CostoNet MADCON00735 triplay de caoba 6 mm 1 cara $231.75/m² sin IVA × 2.977 m² = $690 por hoja; MercadoLibre $250-650+ con IVA,2026-09,validado con rango de mercado
TRIPLAY-CAOBA-16,Triplay de caoba 16 mm hoja 1.22 x 2.44 m,pza,1080.00,"Maderería Los Encinos triplay de caoba $340-1,253 con IVA según espesor (tope = 16-19 mm) → $1,080 sin IVA; CostoNet triplay 16 mm genérico $786 sin IVA",2026-09,referencia
MAD-CAOBA1,Madera de caoba de 1a cepillada (tabla/barrote),pt,95.00,"SIPRE/CONAFOR 2o sem 2019: caoba aserrada LAB aserradero $41.64/pt (larga dimensión selecta); menudeo en maderería 2026 ≈ 2.3× (flete, secado, cepillado); CostoNet MADCON00700 caoba 1a 3/4x4 in listada sin precio visible",2026-09,referencia
MAD-MAPLE,Madera de maple (arce) importada de 1a cepillada,pt,130.00,Maple duro importado en maderería ≈1.35 × caoba (MAD-CAOBA1); sin cotización directa,2026-09,referencia
LAMINADO-PLAST,Laminado plástico decorativo tipo Formica 1.22 x 2.44 m (0.8 mm),pza,850.00,"MercadoLibre / Total Market / Formica Shop (Decorlam) lámina 1.22x2.44 $900-1,200 con IVA según diseño → $850 sin IVA",2026-09,referencia
CHAPA-SCOVILL-TULIP,Cerradura de pomo modelo A52PD Tulip (Scovill/Yale) de recámara,pza,520.00,CostoNet CERCER01025 cerradura recámara A52PS Tulip Scovill $607.81 sin IVA; Ferretería Ermita/Ferretemex A52PD Tulip 26D Yale ≈$506-600 con IVA; se toma $520 sin IVA,2026-09,validado con rango de mercado
CHAPA-ECO,Cerradura de pomo económica de paso/recámara,pza,120.00,"Phillips Omega MX7214 $71 a cerraduras económicas $150 con IVA (elgrantlapalero.com, sodimac.com.mx); se toma $120 sin IVA",2026-09,referencia
PUERTA-TAMBOR-ECO,"Puerta de tambor económica 75 x 213 cm cubierta de MDF, con marco de madera (combo), sin acabado final",pza,1350.00,"Home Depot México 'puerta de tambor arena 75x213 cm con marco Rosi' (combo hoja + marco; precio no visible en la consulta); rango de mercado $1,400-1,800 con IVA → $1,350 sin IVA",2026-09,referencia
CUBRECANTO-MAD,"Chapa de madera natural para cantos (cubrecanto) 22 mm, con adhesivo",m,10.00,Rollo de chapa de madera precolada 22 mm x 50 m $450-600 con IVA → ≈$10/m sin IVA; estimación,2026-09,referencia
RIEL-CLOSET,Riel de aluminio superior o guía inferior para puerta corrediza de closet,m,120.00,Rieles para clóset en Sodimac / Home Depot / herrajesymateriales.com.mx (riel D-52 3 m y guías); $120-180/m con IVA; estimación,2026-09,referencia
CARRETILLA-CLOSET,Carretilla (rodamiento) para puerta corrediza de closet con tornillería,pza,80.00,"Carretillas para puerta de closet $70-150 con IVA (elgrantlapalero.com, ferreherrajes.com); estimación",2026-09,referencia
TUBO-COLGADOR,Tubo oval cromado para closet con soportes (por metro),m,90.00,Tubo oval 1.20-2.40 m $150-250 con IVA + soportes $30; estimación ≈$90/m sin IVA,2026-09,referencia
CORREDERA-CAJON,Corredera telescópica para cajón 45 cm (par),pza,180.00,"Corredera de extensión total 45 cm $180-260 con IVA por par (Home Depot, herrajesymateriales.com.mx); estimación",2026-09,referencia
JALADERA,Jaladera metálica para mueble con tornillos,pza,50.00,Jaladera de 96-128 mm $40-80 con IVA; estimación,2026-09,referencia
BISAGRA-BIDIM,Bisagra bidimensional de cazoleta 35 mm para puerta de mueble,pza,35.00,Bisagra bidimensional recta/codo $30-60 con IVA; estimación,2026-09,referencia
LACA-NITRO,Laca nitrocelulosa transparente/color para madera,l,190.00,"Laca nitro 1 L/4 L $180-260/l con IVA (Comex, Sayer, Polyform); estimación",2026-09,referencia
ADH-PARQUET,Adhesivo para pisos de madera (parquet) base solvente/poliuretano,kg,85.00,"Pegamento para parquet cubeta 19 kg $1,700-2,000 con IVA → ≈$85/kg sin IVA; estimación",2026-09,referencia
DUELA-ENCINO-19,"Duela de encino nacional machihembrada 19 mm, sin acabado",m2,750.00,Harbo.mx parquet encino nacional $670.25/m² sin IVA (para pulir y barnizar); duela sólida de encino ≈ +10 % por largo de tira; MercadoLibre 'duela sólida encino 19 mm' desde $250/m² (segunda); El Jonuco precios de lista; se toma $750,2026-09,referencia
DUELA-PINO-19,"Duela machihembrada de pino de 1a 4 in (19 mm), sin acabado",m2,330.00,CostoNet MADCON00695 duela machihembrada de pino de 1a 4 in $303.29/m² sin IVA (jul-2025) + 9 % a 2026,2026-09,validado con rango de mercado
DUELA-MAPLE-19,"Duela de maple importada machihembrada 19 mm, sin acabado",m2,1400.00,"Encino americano parquet Harbo $872.72/m² sin IVA; maple importado en duela ≈1.6 × → $1,400; sin cotización directa",2026-09,referencia
PARQUET-ENCINO,Parquet de encino nacional para pulir y barnizar,m2,670.00,Harbo.mx 'piso de madera pulir y barnizar encino nacional (parquet)' $670.25/m² sin IVA ($777.49 con IVA),2026-09,validado con rango de mercado
