clave,descripcion,unidad,precio,fuente,fecha,estado
FESTER-HIDROPRIMER,Fester Hidroprimer imprimador asfáltico base agua (cubeta 19 L),l,126.00,"Cubeta 19 L $2,584-2,997 con IVA (FerreKasa, ImperFester, Tool Ferreterías; https://www.ferrekasamexico.com/producto/fester-hidroprimer-19l-henkel/) → $2,228-2,584 sin IVA; se toma $2,394/cubeta",2026-09,validado con rango de mercado
FESTER-VAPORTITE550,Fester Vaportite 550 impermeabilizante asfáltico base solvente (cubeta 19 L),l,131.50,"Cubeta 19 L: distribuidor Fester Outlet $2,235 + IVA; Ferrepat $3,230 y Tool Ferreterías $3,243 con IVA (https://www.ferrepat.com/articulos-de-mantenimento/impermeabilizante-asfaltico-fester-vaportite-16224) → $2,235-2,796 sin IVA; se toma $2,500/cubeta",2026-09,validado con rango de mercado
FESTERFLEX,Festerflex membrana de refuerzo de poliéster (rollo 1.10 x 100 m),m2,10.00,"Rollo 110 m² $1,122 (Limsa) - $1,207 (Tool Ferreterías) (https://www.limsa.mx/producto/30fesfesfle110100/festerflex-rollo-1-10-x-100-mt) → ≈$10/m² sin IVA",2026-09,validado con rango de mercado
FESTERBLANC,Festerblanc recubrimiento acrílico elastomérico blanco (cubeta 19 L),l,198.00,"Cubeta 19 L blanco $4,355 con IVA (Fester Roma, https://www.festerroma.com.mx/tienda/festerblanc-2/); $5,126-5,499 terracota/Claro Shop → se toma $3,754 sin IVA ≈ $198/L",2026-09,validado con rango de mercado
PANEL-YESO-13,Panel de yeso regular 13 mm (1/2 in) 1.22 x 2.44 m (2.977 m²),pza,195.00,"Referencia de mercado $210-260 con IVA por hoja (Panel Rey / USG Tablaroca en Home Depot, Construrama; precios web no visibles en consulta) → $195 sin IVA",2026-09,referencia
POSTE-92-C26,Poste metálico galvanizado 9.20 cm cal. 26 (pieza 3.05 m),m,36.00,"Pieza 3.05 m ≈ $110 sin IVA. Kit poste+canal+tornillos cal. 26 = $105-140 por m² de muro (construyamosh.com, Canal y poste para tablaroca: precio del kit 2026, https://www.construyamosh.com/tablaroca-articulos/canal-y-poste-precios); el precio adoptado deja la estructura en ≈$100/m²",2026-09,validado con rango de mercado
CANAL-92-C26,Canal de amarre galvanizado 9.20 cm cal. 26 (pieza 3.05 m),m,31.00,"Pieza 3.05 m ≈ $95 sin IVA; mismo rango del kit poste+canal cal. 26 $105-140/m² (https://www.construyamosh.com/tablaroca-articulos/canal-y-poste-precios)",2026-09,validado con rango de mercado
CANALETA-CARGA-C22,Canaleta de carga 1 1/2 in cal. 22 (pieza 3.05 m),m,16.00,"Pieza 3.05 m $45-62 (MN Home Center $49 con descuento, precio lista $61.58; https://www.mndelgolfo.com/compra-por-marca-c-456/panel-rey-c-456-618/canaleta-de-carga-calibre-22-1-12x305-m-p-14630.html) → $49 sin IVA",2026-09,validado con rango de mercado
CANAL-LISTON-C26,Canal listón galvanizado cal. 26 (pieza 3.05 m),m,15.00,"Pieza 3.05 m ≈ $46 sin IVA; referencia: similar a canaleta de carga cal. 22 ($45-62/pza, MN Home Center); precio web de canal listón no visible",2026-09,referencia
TORN-PANEL-1,Tornillo tipo S punta fina 1 in para panel de yeso,pza,0.30,"Caja de 1,000 pzas ≈ $300 sin IVA (referencia de mercado; sin cotización web visible)",2026-09,referencia
TORN-FRAMER,Tornillo framer 7/16 in punta fina para unir perfiles,pza,0.30,"Caja de 1,000 pzas ≈ $300 sin IVA (referencia de mercado)",2026-09,referencia
PERFACINTA,Cinta de papel para juntas de panel de yeso (rollo 75 m),m,1.10,"Rollo 75 m ≈ $80 sin IVA (referencia de mercado; tablarocaguadalajara.com lista Redimix y Perfacinta sin precio visible)",2026-09,referencia
